ID;Label
D2-101;Human
D2-102;Anthropic
D2-103;OpenAI
D2-104;Human
D2-105;Human
D2-106;Human
D2-107;Human
D2-108;Human
D2-109;Human
D2-110;Human
D2-111;OpenAI
D2-112;Anthropic
D2-113;Human
D2-114;Anthropic
D2-115;Google
D2-116;Anthropic
D2-117;OpenAI
D2-118;Anthropic
D2-119;Human
D2-120;Human
D2-121;Human
D2-122;Human
D2-123;Anthropic
D2-124;Human
D2-125;Human
D2-126;Human
D2-127;Human
D2-128;Human
D2-129;Human
D2-130;OpenAI
D2-131;OpenAI
D2-132;Anthropic
D2-133;Anthropic
D2-134;Anthropic
D2-135;Anthropic
D2-136;OpenAI
D2-137;OpenAI
D2-138;OpenAI
D2-139;OpenAI
D2-140;OpenAI
D2-141;OpenAI
D2-142;OpenAI
D2-143;OpenAI
D2-144;Human
D2-145;Human
D2-146;Human
D2-147;OpenAI
D2-148;Anthropic
D2-149;Human
D2-150;Anthropic
D3-1;Anthropic
D3-2;Human
D3-3;Anthropic
D3-4;Google
D3-5;Anthropic
D3-6;Anthropic
D3-7;Human
D3-8;Human
D3-9;Anthropic
D3-10;Human
D3-11;Human
D3-12;Anthropic
D3-13;Anthropic
D3-14;Anthropic
D3-15;Anthropic
D3-16;Human
D3-17;OpenAI
D3-18;Human
D3-19;Human
D3-20;Google
D3-21;Human
D3-22;Anthropic
D3-23;Human
D3-24;Human
D3-25;Human
D3-26;OpenAI
D3-27;OpenAI
D3-28;Anthropic
D3-29;OpenAI
D3-30;Anthropic
D3-31;Human
D3-32;OpenAI
D3-33;Anthropic
D3-34;Anthropic
D3-35;Anthropic
D3-36;Anthropic
D3-37;Anthropic
D3-38;Google
D3-39;Anthropic
D3-40;Anthropic
D3-41;Google
D3-42;Human
D3-43;Google
D3-44;Human
D3-45;Human
D3-46;Human
D3-47;Anthropic
D3-48;Human
D3-49;OpenAI
D3-50;Anthropic
D3-51;OpenAI
D3-52;Human
D3-53;Anthropic
D3-54;Human
D3-55;Anthropic
D3-56;Anthropic
D3-57;Anthropic
D3-58;Anthropic
D3-59;OpenAI
D3-60;Human
D3-61;Human
D3-62;Human
D3-63;Anthropic
D3-64;Human
D3-65;Anthropic
D3-66;Anthropic
D3-67;Anthropic
D3-68;Anthropic
D3-69;Human
D3-70;OpenAI
D3-71;Human
D3-72;OpenAI
D3-73;Anthropic
D3-74;Anthropic
D3-75;Anthropic
D3-76;OpenAI
D3-77;Human
D3-78;Human
D3-79;OpenAI
D3-80;OpenAI
D3-81;Anthropic
D3-82;Anthropic
D3-83;Anthropic
D3-84;Human
D3-85;OpenAI
D3-86;Human
D3-87;Human
D3-88;Human
D3-89;Human
D3-90;Anthropic
D3-91;Anthropic
D3-92;OpenAI
D3-93;Human
D3-94;Anthropic
D3-95;Human
D3-96;Human
D3-97;Human
D3-98;Anthropic
D3-99;Human
D3-100;OpenAI
