ID;Label
D2-126;1
D2-127;1
D2-128;1
D2-129;1
D2-130;1
D2-131;1
D2-132;1
D2-133;1
D2-134;1
D2-135;1
D2-136;1
D2-137;1
D2-138;1
D2-139;1
D2-140;1
D2-141;1
D2-142;1
D2-143;1
D2-144;1
D2-145;1
D2-146;1
D2-147;1
D2-148;1
D2-149;0
D2-150;4
D3-76;1
D3-77;1
D3-78;1
D3-79;1
D3-80;1
D3-81;1
D3-82;1
D3-83;1
D3-84;1
D3-85;0
D3-86;1
D3-87;1
D3-88;1
D3-89;1
D3-90;1
D3-91;1
D3-92;1
D3-93;1
D3-94;1
D3-95;1
D3-96;1
D3-97;1
D3-98;1
D3-99;1
D3-100;1
D4-1;1
D4-2;1
D4-3;1
D4-4;1
D4-5;4
D4-6;1
D4-7;1
D4-8;1
D4-9;1
D4-10;1
D4-11;1
D4-12;1
D4-13;1
D4-14;1
D4-15;1
D4-16;1
D4-17;1
D4-18;0
D4-19;1
D4-20;1
D4-21;1
D4-22;4
D4-23;1
D4-24;1
D4-25;1
D4-26;1
D4-27;4
D4-28;1
D4-29;1
D4-30;1
D4-31;1
D4-32;1
D4-33;1
D4-34;1
D4-35;1
D4-36;1
D4-37;1
D4-38;1
D4-39;1
D4-40;1
D4-41;1
D4-42;1
D4-43;1
D4-44;1
D4-45;1
D4-46;1
D4-47;1
D4-48;1
D4-49;1
D4-50;1
D4-51;1
D4-52;1
D4-53;1
D4-54;1
D4-55;0
D4-56;1
D4-57;1
D4-58;1
D4-59;1
D4-60;1
D4-61;3
D4-62;1
D4-63;1
D4-64;3
D4-65;1
D4-66;1
D4-67;1
D4-68;1
D4-69;1
D4-70;1
D4-71;1
D4-72;1
D4-73;1
D4-74;1
D4-75;1
D4-76;1
D4-77;1
D4-78;1
D4-79;1
D4-80;1
D4-81;1
D4-82;1
D4-83;1
D4-84;1
D4-85;4
D4-86;1
D4-87;1
D4-88;1
D4-89;1
D4-90;1
D4-91;1
D4-92;1
D4-93;1
D4-94;1
D4-95;1
D4-96;1
D4-97;1
D4-98;4
D4-99;1
D4-100;1
